date,code,market_cap,volume,trade_value,shares
20210412,000060,2237593750000,191080,3527522550,120625000
20210413,000060,2249656250000,140786,2611561300,120625000
20210414,000060,2255687500000,160970,3005462850,120625000
20210415,000060,2261718750000,132109,2468864100,120625000
20210416,000060,2225531250000,284738,5270999150,120625000
20210419,000060,2213468750000,228808,4203865950,120625000
20210420,000060,2273781250000,536499,10164260750,120625000
20210421,000060,2225531250000,277541,5151043750,120625000
20210422,000060,2237593750000,499978,9243066500,120625000
20210423,000060,2261718750000,266825,4985071950,120625000
20210426,000060,2328062500000,554175,10683170250,120625000
20210427,000060,2346156250000,259611,5017394400,120625000
